"loja_id","regiao","tipo_loja","porte","area_m2","num_funcionarios","fluxo_clientes_mensal","ticket_medio","gasto_marketing","receita_mensal","taxa_conversao","teve_reclamacao_grave","num_reclamacoes_mes","participou_campanha","receita_pre_campanha","receita_pos_campanha","participou_teste_fidelidade","grupo_teste_fidelidade","vendas_incrementais_fidelidade"
"LJ0025","Sul","Shopping","Grande",444.8,30,17265,105.05,10045.48,32099.64,0.3359,0,0,0,NA,NA,0,NA,NA
"LJ0026","Central","Shopping","Media",205.8,10,7786,70.17,3950.08,8645.66,0.2764,0,0,0,NA,NA,0,NA,NA
"LJ0027","Sul","Rua","Media",274.7,8,7357,75.15,4527.69,12529.75,0.2804,0,0,0,NA,NA,0,NA,NA
"LJ0028","Central","Rua","Media",197,11,5314,62.02,3930.94,7063.23,0.2194,0,1,0,NA,NA,0,NA,NA
"LJ0029","Central","Rua","Pequena",71.9,4,1716,29.39,1943.46,857.14,0.0855,0,2,0,NA,NA,0,NA,NA
"LJ0030","Leste","Shopping","Grande",413.9,27,14535,84.06,10438.4,23960.12,0.3133,1,3,0,NA,NA,1,"Tratamento",7.55
"LJ0031","Norte","Shopping","Pequena",66.1,4,2983,27.45,1003.02,2692.94,0.167,0,1,0,NA,NA,1,"Tratamento",318.04
"LJ0032","Central","Rua","Pequena",60.2,4,3101,60.77,1792.06,1002.29,0.1975,0,0,0,NA,NA,1,"Controle",170.32
"LJ0033","Oeste","Shopping","Pequena",86.7,2,2441,54.91,943.73,4312.66,0.1581,0,2,0,NA,NA,0,NA,NA
"LJ0034","Central","Shopping","Grande",451.2,35,15492,100.77,16773.45,33515.22,0.3262,0,0,0,NA,NA,0,NA,NA
"LJ0035","Leste","Rua","Media",256.2,13,7262,82.79,3854.29,10424.12,0.3311,0,2,0,NA,NA,1,"Tratamento",788.88
"LJ0036","Sul","Shopping","Media",205.6,10,6126,74.5,2879.48,9801.49,0.2449,0,1,0,NA,NA,1,"Controle",65.64
"LJ0037","Central","Rua","Media",221.5,10,5955,89.65,6015.31,11277.5,0.2716,0,3,0,NA,NA,0,NA,NA
"LJ0038","Leste","Shopping","Pequena",69,4,3217,34.93,1120.76,3318.99,0.1884,0,1,1,3318.99,4634.41,0,NA,NA
"LJ0039","Oeste","Rua","Pequena",86.9,4,1831,32.33,1508.74,1730.65,0.1471,1,0,0,NA,NA,0,NA,NA
"LJ0040","Leste","Quiosque","Media",275.3,11,4393,58.67,6913.18,8374.82,0.2406,0,1,1,8374.82,8990.56,0,NA,NA
"LJ0041","Sul","Rua","Pequena",84.1,3,1619,39.07,643.74,500,0.1602,0,0,1,500,797.1,0,NA,NA
"LJ0042","Norte","Rua","Media",247.9,13,6885,41.19,4957.74,6547.95,0.2515,0,1,0,NA,NA,0,NA,NA
"LJ0043","Sul","Rua","Pequena",79.3,5,1879,65.07,1254.99,3479.05,0.166,0,0,0,NA,NA,0,NA,NA
"LJ0044","Leste","Rua","Grande",480.1,28,15158,87.05,6050.94,24547.73,0.3196,0,1,0,NA,NA,1,"Controle",-101.61
"LJ0045","Central","Rua","Pequena",67.9,4,2695,35.21,1214.07,5426.31,0.1943,0,1,0,NA,NA,1,"Controle",90.47
"LJ0046","Central","Shopping","Pequena",65.7,4,3248,38.68,558.96,1142.12,0.1696,0,1,0,NA,NA,1,"Tratamento",256.98
"LJ0047","Norte","Shopping","Pequena",56.1,4,2879,42.25,1175.98,3621.95,0.1474,0,0,0,NA,NA,0,NA,NA
"LJ0048","Sul","Rua","Pequena",66.2,4,2276,49.11,1635.5,2370.61,0.1455,0,1,0,NA,NA,0,NA,NA
"LJ0049","Leste","Rua","Grande",517.2,34,15890,71.67,5576.21,20017.82,0.3575,0,0,1,20017.82,21923.86,0,NA,NA
"LJ0050","Sul","Rua","Pequena",87.8,2,1939,29.9,1128.79,4228.79,0.1093,0,1,0,NA,NA,0,NA,NA
"LJ0051","Norte","Shopping","Pequena",83,5,1829,59.47,614.2,500,0.1394,0,0,0,NA,NA,0,NA,NA
"LJ0052","Leste","Shopping","Pequena",82.5,5,1932,60.73,1151.1,2102.43,0.1588,0,2,0,NA,NA,0,NA,NA
"LJ0053","Norte","Rua","Pequena",81.2,3,2095,46.54,1139.3,2806.85,0.151,0,1,1,2806.85,3172.62,0,NA,NA
"LJ0054","Norte","Quiosque","Pequena",67.6,3,1747,53.04,946.68,1208.66,0.1503,0,1,0,NA,NA,1,"Tratamento",3.04
"LJ0055","Leste","Quiosque","Grande",442.8,28,9735,100.55,8220.05,19010.48,0.3125,1,2,0,NA,NA,0,NA,NA
"LJ0056","Oeste","Rua","Grande",516.2,30,16759,93.45,11421.2,31664.27,0.3389,0,1,0,NA,NA,0,NA,NA
"LJ0057","Oeste","Rua","Media",209,14,7223,77.33,19273.17,15239.58,0.2705,1,1,0,NA,NA,0,NA,NA
"LJ0058","Central","Rua","Media",227.8,11,6499,72.2,3196.45,11097.94,0.2733,0,0,0,NA,NA,1,"Tratamento",638.49
"LJ0059","Norte","Shopping","Pequena",72.4,5,2930,57.7,1722.04,2859.87,0.1727,0,1,0,NA,NA,0,NA,NA
"LJ0060","Central","Rua","Grande",392.1,21,16306,101.91,11861.3,33292.74,0.3645,0,2,0,NA,NA,0,NA,NA
"LJ0061","Sul","Quiosque","Pequena",95.9,3,2182,39.6,871.89,3093.92,0.1579,0,1,0,NA,NA,0,NA,NA
"LJ0062","Norte","Shopping","Pequena",78.5,3,3334,41.52,1124.18,3558.71,0.2026,0,2,0,NA,NA,0,NA,NA
"LJ0063","Leste","Rua","Pequena",76,4,1742,53.68,1056.17,4812.19,0.1494,0,1,0,NA,NA,1,"Controle",301.86
"LJ0064","Leste","Shopping","Pequena",86.3,4,2824,43.37,1633.21,6564.28,0.1792,0,3,1,6564.28,7402.92,0,NA,NA
"LJ0065","Sul","Rua","Grande",606.6,25,14040,86.19,11886.22,23639.88,0.3818,0,3,0,NA,NA,0,NA,NA
"LJ0066","Central","Rua","Pequena",80.5,4,2408,50.32,1038.62,500,0.1851,0,1,0,NA,NA,0,NA,NA
"LJ0067","Leste","Rua","Grande",565.2,34,14688,102.46,6423.82,26110.69,0.3313,0,1,0,NA,NA,1,"Tratamento",158.76
"LJ0068","Leste","Rua","Grande",531.4,24,11444,101.86,11342.62,23135.27,0.3236,0,0,0,NA,NA,1,"Tratamento",322.87
"LJ0069","Leste","Shopping","Media",202.2,10,6845,53.24,2991.84,9421.38,0.2687,0,0,0,NA,NA,0,NA,NA
"LJ0070","Oeste","Quiosque","Pequena",89.6,2,1098,42.55,1246.81,5440.19,0.1052,1,1,0,NA,NA,0,NA,NA
"LJ0071","Norte","Shopping","Grande",489.8,26,14502,91.64,10412.85,25828.37,0.3052,0,1,0,NA,NA,0,NA,NA
"LJ0072","Sul","Quiosque","Media",249.4,12,2892,54.29,5145.55,10018.4,0.1579,0,3,0,NA,NA,0,NA,NA
"LJ0073","Oeste","Rua","Grande",519.9,25,14699,91.51,12626.23,25269.95,0.3522,0,2,0,NA,NA,0,NA,NA
"LJ0074","Norte","Shopping","Media",206.5,7,6203,39.53,5246.87,6782.75,0.2599,0,0,0,NA,NA,1,"Controle",198.86
"LJ0075","Central","Rua","Pequena",57.6,2,2082,49.77,1188.17,2555.34,0.1944,0,0,0,NA,NA,0,NA,NA
"LJ0076","Leste","Rua","Pequena",86.5,5,2186,43.84,1653.59,500,0.1972,0,1,0,NA,NA,0,NA,NA
"LJ0077","Oeste","Rua","Media",228.8,14,6338,53.87,2974.06,7937.75,0.2306,0,2,0,NA,NA,0,NA,NA
"LJ0078","Leste","Shopping","Pequena",71.6,3,2236,54.38,778.82,1041.59,0.1341,1,2,0,NA,NA,0,NA,NA
"LJ0079","Central","Shopping","Pequena",88.8,5,2397,43.23,1596.66,3276.08,0.1797,0,2,0,NA,NA,0,NA,NA
"LJ0080","Norte","Rua","Pequena",76.5,3,1929,46.53,1490.42,4013.96,0.1254,0,1,0,NA,NA,1,"Tratamento",644
"LJ0081","Central","Shopping","Pequena",103.7,3,2638,55.42,997.04,5600.27,0.195,0,1,0,NA,NA,0,NA,NA
"LJ0082","Norte","Rua","Pequena",82.3,5,1581,51.98,1129.95,1772.82,0.1188,0,2,0,NA,NA,0,NA,NA
"LJ0083","Oeste","Rua","Media",206.1,14,7651,49.85,7468.04,12753.04,0.2665,0,1,0,NA,NA,1,"Controle",-0.22
"LJ0084","Norte","Quiosque","Media",265.2,11,3732,62.19,4610.5,5118.19,0.1738,0,2,1,5118.19,5890.69,1,"Tratamento",201.14
"LJ0085","Central","Rua","Pequena",46.3,2,1962,50.96,2429.1,500,0.1619,0,0,0,NA,NA,0,NA,NA
"LJ0086","Norte","Rua","Pequena",77.4,4,2200,43.29,663.35,500,0.1536,0,1,0,NA,NA,0,NA,NA
"LJ0087","Leste","Rua","Grande",530.9,21,12400,125.85,11400.23,26504.7,0.3281,0,2,0,NA,NA,0,NA,NA
"LJ0088","Norte","Shopping","Grande",482.3,29,16522,67.5,11580.98,21332.65,0.3703,0,1,0,NA,NA,0,NA,NA
"LJ0089","Central","Shopping","Pequena",80.2,5,3116,40.86,949.05,2525.59,0.1567,0,2,0,NA,NA,0,NA,NA
"LJ0090","Central","Shopping","Media",242.2,10,7507,42.48,3445.11,7110.89,0.2513,0,0,1,7110.89,7250.44,0,NA,NA
"LJ0091","Norte","Rua","Pequena",60.6,4,2340,62.64,732.26,3108.02,0.188,0,1,0,NA,NA,1,"Controle",-506.81
"LJ0092","Oeste","Shopping","Grande",451.5,18,19423,71.48,14448.65,28040.11,0.3392,0,2,0,NA,NA,0,NA,NA
"LJ0093","Oeste","Shopping","Media",205.1,10,7917,64.17,6354.44,9346.85,0.2691,0,3,0,NA,NA,0,NA,NA
"LJ0094","Sul","Rua","Pequena",74.6,6,2234,40.68,1528.06,1744.62,0.1499,0,3,0,NA,NA,0,NA,NA
"LJ0095","Sul","Quiosque","Grande",535.7,21,12273,98.55,15066.55,26691.53,0.3277,0,4,0,NA,NA,0,NA,NA
"LJ0096","Sul","Quiosque","Media",201.8,12,4819,56.46,3680.21,7561.7,0.2325,0,2,0,NA,NA,0,NA,NA
"LJ0097","Oeste","Quiosque","Pequena",77.3,3,1933,38.4,865.99,1510.99,0.1586,0,1,0,NA,NA,0,NA,NA
"LJ0098","Sul","Quiosque","Pequena",68.1,3,1424,27.43,1150.49,723.25,0.0984,0,1,0,NA,NA,0,NA,NA
"LJ0099","Oeste","Rua","Pequena",55.4,6,1960,44.03,697.72,3400.46,0.1246,0,2,0,NA,NA,1,"Tratamento",427.56
"LJ0100","Sul","Shopping","Media",284.1,6,8531,72.07,6289.19,11235.34,0.3002,0,3,0,NA,NA,0,NA,NA
"LJ0101","Central","Quiosque","Media",241.6,15,7360,76.97,7955.5,9573.53,0.295,0,2,1,9573.53,9163.53,1,"Tratamento",324.03
"LJ0102","Norte","Quiosque","Grande",462.8,22,11641,95.23,10618.08,21516,0.3578,0,1,0,NA,NA,0,NA,NA
"LJ0103","Sul","Rua","Media",236.3,7,7205,76.92,4916.56,10574.2,0.2745,0,3,0,NA,NA,0,NA,NA
"LJ0104","Central","Rua","Media",221.6,12,6448,67.44,4195.05,9457.98,0.2518,1,1,0,NA,NA,0,NA,NA
"LJ0105","Central","Shopping","Pequena",73.9,4,1794,58.19,1684.98,2757.69,0.1506,0,3,0,NA,NA,0,NA,NA
"LJ0106","Central","Rua","Media",187.7,9,5515,69.19,3305.55,7260.21,0.2515,0,3,0,NA,NA,0,NA,NA
"LJ0107","Oeste","Shopping","Grande",453.2,22,18813,109.07,8193.2,32760.4,0.3603,1,2,1,32760.4,37343.95,0,NA,NA
"LJ0108","Leste","Rua","Pequena",58,3,2047,51.96,1412.22,3742.35,0.1417,0,4,0,NA,NA,1,"Tratamento",527.19
"LJ0109","Sul","Shopping","Pequena",54.8,5,2771,32.98,989.28,2294.44,0.1826,0,0,0,NA,NA,0,NA,NA
"LJ0110","Leste","Rua","Pequena",55.1,4,1896,40.19,809.75,2139.86,0.1483,0,0,0,NA,NA,0,NA,NA
"LJ0111","Sul","Shopping","Pequena",67.4,6,3206,51.75,1501.86,500,0.174,0,3,0,NA,NA,0,NA,NA
"LJ0112","Norte","Quiosque","Grande",472.9,31,13278,105.35,7989.72,26726.42,0.3504,0,1,1,26726.42,28412.3,0,NA,NA
"LJ0113","Central","Shopping","Pequena",64.4,5,2618,52.34,2127.28,3794.14,0.166,1,1,0,NA,NA,0,NA,NA
"LJ0114","Sul","Shopping","Pequena",94.5,5,1870,48.77,921.92,1318.17,0.1599,0,2,0,NA,NA,0,NA,NA
"LJ0115","Central","Shopping","Media",199.4,9,6402,60.75,3812.34,9290.27,0.3059,0,2,1,9290.27,10085.84,0,NA,NA
"LJ0116","Central","Shopping","Grande",434.1,32,19774,119.39,12548.33,38598.51,0.3109,0,1,0,NA,NA,0,NA,NA
"LJ0117","Leste","Rua","Pequena",81.9,5,2229,67.73,1185.56,3938.65,0.1609,0,1,0,NA,NA,0,NA,NA
"LJ0118","Central","Shopping","Media",217.3,9,7239,73.1,2791.4,7926.31,0.2509,0,2,0,NA,NA,1,"Tratamento",23.15
"LJ0119","Central","Rua","Grande",414.7,39,13841,76.09,8028.33,18825.52,0.3761,0,2,0,NA,NA,0,NA,NA
"LJ0120","Oeste","Rua","Pequena",97,5,1993,56.03,699.82,3725.22,0.1478,1,1,1,3725.22,4214.48,0,NA,NA
"LJ0121","Leste","Shopping","Pequena",80.7,4,1978,60.08,2026.54,2161.98,0.1629,0,1,0,NA,NA,0,NA,NA
"LJ0122","Central","Rua","Pequena",96.1,4,2233,50.96,1765.74,1988.29,0.1824,0,0,0,NA,NA,0,NA,NA
"LJ0123","Leste","Shopping","Pequena",88.5,4,1970,59.13,1270.54,7907.45,0.1616,0,1,0,NA,NA,0,NA,NA
"LJ0124","Oeste","Rua","Pequena",92.5,6,2321,54.69,1589.73,3032.33,0.1875,0,2,0,NA,NA,0,NA,NA
"LJ0125","Sul","Shopping","Pequena",63.5,3,2531,41.89,1314.53,4560.11,0.1596,0,2,0,NA,NA,1,"Tratamento",23.13
"LJ0126","Central","Rua","Media",194.8,13,7431,67.73,2647.73,9721.82,0.2852,0,1,0,NA,NA,0,NA,NA
"LJ0127","Sul","Quiosque","Pequena",75.6,3,1803,51.22,1141.04,500,0.1174,0,1,0,NA,NA,0,NA,NA
"LJ0128","Leste","Shopping","Pequena",57.6,1,2017,36.17,1667.04,500,0.1627,0,0,0,NA,NA,0,NA,NA
"LJ0129","Central","Rua","Media",236.6,8,7145,46.9,3365.97,6340.61,0.2895,0,2,0,NA,NA,0,NA,NA
"LJ0130","Sul","Quiosque","Pequena",84.9,6,1219,42.36,970,2950.99,0.1217,0,2,0,NA,NA,0,NA,NA
"LJ0131","Sul","Shopping","Pequena",80.2,5,2420,41.84,1389.19,5323.42,0.1757,0,2,0,NA,NA,0,NA,NA
"LJ0132","Oeste","Shopping","Grande",385.5,27,15206,89.03,9829.8,25539.52,0.3483,0,1,0,NA,NA,1,"Tratamento",516.91
"LJ0133","Central","Shopping","Media",202.9,12,7552,68.45,3950.72,6891.62,0.2721,1,0,0,NA,NA,0,NA,NA
"LJ0134","Central","Shopping","Pequena",88.7,2,2621,48.31,1583.43,3923.67,0.198,0,3,1,3923.67,4635.9,0,NA,NA
"LJ0135","Norte","Quiosque","Pequena",70.8,4,1714,42.01,2019.01,3508.12,0.1295,0,0,0,NA,NA,1,"Tratamento",71.82
"LJ0136","Central","Shopping","Pequena",78.7,4,2263,49.58,776.75,1262.93,0.167,0,0,1,1262.93,1567.36,0,NA,NA
"LJ0137","Central","Rua","Media",224.5,9,6568,67.58,4781.55,6637.89,0.2866,0,4,0,NA,NA,1,"Controle",294.63
"LJ0138","Leste","Rua","Pequena",97.3,4,2584,44.35,1066.74,2925.02,0.1279,0,4,0,NA,NA,0,NA,NA
"LJ0139","Leste","Quiosque","Media",220.8,10,5268,75.49,4262.57,6093.05,0.2234,0,3,1,6093.05,5539.4,0,NA,NA
"LJ0140","Sul","Quiosque","Pequena",74.3,4,1697,59.45,1401.13,5717.27,0.1378,0,1,0,NA,NA,0,NA,NA
"LJ0141","Oeste","Quiosque","Grande",502.9,24,15255,82.18,9480.82,23172.51,0.3361,0,3,0,NA,NA,0,NA,NA
"LJ0142","Sul","Quiosque","Media",187.3,11,6124,52.74,5394.06,5927.47,0.2433,0,0,0,NA,NA,0,NA,NA
"LJ0143","Leste","Rua","Media",127,14,6983,74.66,2936.31,7276.05,0.313,0,0,0,NA,NA,1,"Tratamento",211.08
"LJ0144","Oeste","Rua","Grande",475.9,31,12914,87.87,6349.11,21595.09,0.3426,0,2,1,21595.09,21718.65,1,"Controle",462.14
"LJ0145","Norte","Quiosque","Media",191.3,10,3989,66.08,4891.92,7016.31,0.1737,0,1,0,NA,NA,0,NA,NA
"LJ0146","Central","Shopping","Pequena",68.1,4,3300,44.12,779.39,586.12,0.1913,0,1,0,NA,NA,0,NA,NA
"LJ0147","Central","Shopping","Pequena",100.9,3,1960,56.3,691.24,500,0.1421,1,3,0,NA,NA,1,"Tratamento",532.91
"LJ0148","Leste","Rua","Media",239.7,7,7089,54.41,2106.15,7446.58,0.255,0,1,0,NA,NA,0,NA,NA
"LJ0149","Oeste","Quiosque","Media",250.7,6,7207,80.24,2820.38,10043.36,0.2626,0,0,0,NA,NA,1,"Controle",53.59
"LJ0150","Central","Rua","Media",275.4,7,5692,83.45,2074.42,10520.79,0.2652,0,2,0,NA,NA,0,NA,NA
"LJ0151","Central","Rua","Media",184.5,12,7643,66.08,4239.07,9996.21,0.2884,1,1,0,NA,NA,0,NA,NA
"LJ0152","Central","Rua","Pequena",79.5,6,1904,40.67,1631.74,1714.2,0.1442,0,1,0,NA,NA,0,NA,NA
"LJ0153","Norte","Rua","Grande",542.4,28,13451,119.12,9097.31,29448.25,0.3389,0,2,1,29448.25,31254.78,0,NA,NA
"LJ0154","Leste","Quiosque","Media",231.5,9,4566,78.97,4211.3,4382.16,0.2434,0,2,0,NA,NA,0,NA,NA
"LJ0155","Oeste","Rua","Pequena",72.5,5,2260,43,1569.78,1416.69,0.1361,0,2,1,1416.69,1634.67,0,NA,NA
"LJ0156","Oeste","Rua","Pequena",79,4,1988,46.38,1007.36,500,0.1345,0,2,0,NA,NA,0,NA,NA
"LJ0157","Sul","Shopping","Media",177.3,15,6623,70.26,3789.18,10515.88,0.2702,1,1,0,NA,NA,1,"Controle",-70.68
"LJ0158","Oeste","Shopping","Grande",535.7,31,18395,84.59,5782.44,25670.35,0.321,1,2,0,NA,NA,0,NA,NA
"LJ0159","Oeste","Shopping","Pequena",92.3,5,2753,37.6,1731.36,4732.09,0.2028,0,1,0,NA,NA,1,"Tratamento",215.3
"LJ0160","Central","Quiosque","Grande",437.5,34,11807,99.4,15259,24081.56,0.3047,0,2,1,24081.56,22668.44,0,NA,NA
"LJ0161","Central","Rua","Media",271.1,13,7369,68.27,4962.26,11138,0.2651,0,0,0,NA,NA,0,NA,NA
"LJ0162","Leste","Rua","Media",265.6,8,5775,33.83,20443.36,10451.19,0.2444,0,4,1,10451.19,11476.55,0,NA,NA
"LJ0163","Norte","Shopping","Media",168.1,14,7633,61,6466.76,7944.32,0.2898,0,0,0,NA,NA,0,NA,NA
"LJ0164","Central","Rua","Pequena",106,4,3265,40.26,1392.62,3646.55,0.2058,0,1,0,NA,NA,1,"Tratamento",322.7
"LJ0165","Central","Quiosque","Media",210.7,14,2633,66.03,7011.46,886.82,0.1367,0,0,0,NA,NA,1,"Tratamento",66.47
"LJ0166","Sul","Rua","Grande",562.8,31,13237,81.84,19834.71,27238.33,0.3803,0,1,0,NA,NA,0,NA,NA
"LJ0167","Central","Quiosque","Pequena",54,4,2067,37.13,970.46,3967.97,0.1867,0,3,0,NA,NA,0,NA,NA
"LJ0168","Leste","Rua","Media",220.2,12,6944,62.64,3283.86,10492.03,0.2501,0,3,0,NA,NA,0,NA,NA
"LJ0169","Leste","Shopping","Media",224.6,11,7475,58.02,3981.44,12953.37,0.3111,0,1,0,NA,NA,0,NA,NA
"LJ0170","Central","Quiosque","Media",207.2,14,3420,67.06,4535.08,4890.56,0.1866,0,0,0,NA,NA,1,"Tratamento",889.8
"LJ0171","Oeste","Rua","Media",236.6,10,6311,59.76,8848.65,8375.91,0.2579,0,1,0,NA,NA,0,NA,NA
"LJ0172","Oeste","Rua","Media",188,13,6597,54.26,2517.23,7089.62,0.2724,1,1,0,NA,NA,1,"Controle",3.98
"LJ0173","Leste","Rua","Pequena",75.3,1,2311,33.48,1592.47,4518.21,0.1512,0,2,0,NA,NA,0,NA,NA
"LJ0174","Oeste","Rua","Pequena",64.4,3,2029,44.47,503.16,500,0.1532,0,1,0,NA,NA,1,"Tratamento",712.71
"LJ0175","Sul","Quiosque","Pequena",82.3,4,1808,43.67,1908.66,6185.85,0.1305,0,1,0,NA,NA,0,NA,NA
"LJ0176","Leste","Shopping","Pequena",77.1,2,2513,45.13,791.5,4099.65,0.1813,0,0,0,NA,NA,0,NA,NA
"LJ0177","Norte","Rua","Grande",476.1,35,18054,110.43,7056.15,35867.48,0.3549,0,2,0,NA,NA,0,NA,NA
"LJ0178","Norte","Rua","Pequena",90.6,3,3042,35.33,769.72,2859.91,0.1828,0,0,0,NA,NA,0,NA,NA
"LJ0179","Norte","Shopping","Pequena",72.6,2,2397,50.57,1006.76,4633.36,0.1834,0,2,0,NA,NA,0,NA,NA
"LJ0180","Leste","Rua","Pequena",75.3,3,1843,45.21,927.33,1574.09,0.1754,0,1,0,NA,NA,1,"Tratamento",174.5
"LJ0181","Central","Shopping","Pequena",79.5,5,3009,52.38,1587.64,1390.76,0.1855,0,2,0,NA,NA,0,NA,NA
"LJ0182","Sul","Rua","Pequena",76.4,2,2045,39.71,1405.04,1564.63,0.1122,0,1,0,NA,NA,0,NA,NA
"LJ0183","Norte","Shopping","Media",250.5,10,7034,70.87,4544.01,7425.04,0.2438,0,2,0,NA,NA,0,NA,NA
"LJ0184","Leste","Shopping","Grande",538.4,31,14803,98.16,11690.69,28949.6,0.3302,0,1,0,NA,NA,0,NA,NA
"LJ0185","Sul","Rua","Media",288.1,8,6357,81.14,2480.69,10819.13,0.2515,0,2,0,NA,NA,0,NA,NA
"LJ0186","Sul","Shopping","Pequena",75.1,4,2439,50.03,10219,5909.62,0.1578,0,1,0,NA,NA,0,NA,NA
"LJ0187","Norte","Rua","Grande",582.5,29,12004,93.36,11924.44,21894.54,0.3234,0,2,0,NA,NA,0,NA,NA
"LJ0188","Central","Quiosque","Media",226.1,12,6452,76.27,5048.64,7763.28,0.246,0,3,0,NA,NA,0,NA,NA
"LJ0189","Central","Shopping","Media",150.5,14,6422,80.42,3600.16,11262.17,0.2801,0,2,0,NA,NA,0,NA,NA
"LJ0190","Sul","Rua","Media",169.2,10,6898,75.69,5553.29,6067.04,0.2659,0,0,0,NA,NA,0,NA,NA
"LJ0191","Sul","Rua","Media",178.3,10,6167,72.66,3683.46,9955.59,0.2742,0,2,0,NA,NA,0,NA,NA
"LJ0192","Central","Rua","Grande",410.4,24,14439,87.81,12249.08,23121.86,0.3249,0,1,0,NA,NA,1,"Tratamento",139.8
"LJ0193","Central","Rua","Grande",493.2,35,13746,94.28,9199.19,23372.99,0.3255,0,0,0,NA,NA,0,NA,NA
"LJ0194","Norte","Rua","Media",277.3,9,4974,53.64,9351.72,9887.87,0.189,0,2,0,NA,NA,0,NA,NA
"LJ0195","Sul","Rua","Pequena",83.9,5,2756,45.03,989.35,3279.98,0.185,0,3,0,NA,NA,0,NA,NA
"LJ0196","Sul","Quiosque","Pequena",74.6,4,1921,53.63,1556.82,3780.85,0.125,0,0,0,NA,NA,0,NA,NA
"LJ0197","Central","Rua","Media",193.7,11,7579,63.96,2855.54,10221.17,0.2973,0,1,1,10221.17,11893.55,0,NA,NA
"LJ0198","Leste","Shopping","Pequena",101.5,7,2608,39.84,636.76,1641.64,0.187,0,1,0,NA,NA,0,NA,NA
"LJ0199","Oeste","Shopping","Media",200.2,12,6121,76.18,3471.07,8198.7,0.2638,0,0,0,NA,NA,0,NA,NA
